id,x,y,width,height,text,type
0,88.66666666666667,10.0,51.333333333333336,26.0,100,
1,13.333333333333334,66.0,26.0,142.0,precision,
2,106.0,85.33333333333333,34.0,26.0,95,
3,7.333333333333333,106.0,4.666666666666667,5.333333333333333,a,
4,7.333333333333333,132.66666666666666,4.666666666666667,5.333333333333333,a,
5,106.0,162.0,34.0,26.0,90,
6,105.33333333333333,237.33333333333334,34.666666666666664,26.0,85,
7,196.0,287.3333333333333,138.0,26.0,2.65-3.99,
8,400.6666666666667,287.3333333333333,138.0,26.0,4.00-5.99,
9,602.6666666666666,287.3333333333333,136.0,32.0,6.00-Top,
10,408.0,352.0,121.33333333333333,26.0,C-value,
